company,type,hq_or_branch,primary_markets_overlapping_bt,website,phone,google_rating,google_reviews,years_claimed,pricing_public,notable_offer,online_booking,military_angle,termite,mosquito_included_in_pest_plan,wildlife_or_moisture,review_response_observed,threat_to_bt,notes,source_url,date,confidence
Modern Exterminating,local,627 College St Jacksonville NC 28540,"Jacksonville, Onslow, Carteret, Craven, Pender, Jones, Duplin",https://modernexterminating.com/,910-996-5225,4.8,2298-2381,since 1952,no public monthly rate,free estimate; same-day language,bill pay yes / estimate form,reviews mention military PCS,yes,separate mosquito page,moisture + WDIR,yes owner replies,critical,"Review-volume leader in Jacksonville; 70+ year brand; Digital Skratch site; named techs; 4.8 vs B&T 4.9 but ~8x reviews",https://modernexterminating.com/,2026-08-23,high
May Exterminating,local,2701 Commerce Rd Jacksonville NC 28546,"Jacksonville, Camp Lejeune, Hampstead, Richlands, Piney Green, Emerald Isle, Morehead City",https://www.mayexterminating.com/,910-696-6871,unknown_public_count,unknown,since 1963 / 60+ years,move-out spray $60 advertised,same-day; free estimate; WDIR for realtors,form,strong (move-out sprays for military leases),yes,not advertised as included,moisture + crawl + pre-treat,unknown,high,"Realtor WDIR channel; Camp Lejeune move-out SKU B&T does not productize",https://www.mayexterminating.com/,2026-08-23,high
Eastline Pest Management,local,Onslow County (Jacksonville pages),"Jacksonville, Camp Lejeune, Swansboro, Hubert, Richlands, Sneads Ferry, Holly Ridge",https://eastlinepest.com/,252-633-1719,4.9,400+,25+ years / QualityPro,no,free estimates; military family friendly; WDIR-100 VA,online schedule CTA,very strong,Termidor + WDIR,barrier mosquito program,rodent,unknown,high,"QualityPro + VA/WDIR + PCS scheduling; attacks B&T's military-adjacent demand",https://eastlinepest.com/pest-control-jacksonville-nc,2026-08-23,high
Jones Pest Control Inc,local,Jacksonville NC 28540,"Jacksonville, Swansboro, Topsail, Surf City",https://jonespestnc.com/,910-430-0169,unknown,unknown,since 2005,no,financing CTA; realtor referrals; mosquito add-on,no,realtor/military families in testimonials,termite + pest,mosquito treatments mentioned not bundled,unknown,unknown,medium,"Hyper-local owner-operator; reminder calls; free callbacks in testimonials",https://jonespestnc.com/,2026-08-23,high
D&D Pest Control,local,Eastern NC,"Jacksonville, Camp Lejeune, Piney Green, Sneads Ferry, Swansboro, Holly Ridge",https://ddpestcontrol.com/,252-523-8255,unknown,unknown,licensed pest + home inspector,no,inspection-first; rentals/property managers,book/estimate,military/rental turnover,termite + inspections,unknown,home inspection combo,unknown,medium,"Dual license (pest + home inspector) is a realtor/WDIR wedge",https://ddpestcontrol.com/our-service-area/pest-control-jacksonville-nc/,2026-08-23,medium
Pest & Termite Consultants,regional,Wilmington-area team serving Onslow,"Jacksonville, Sneads Ferry, Surf City, Swansboro, Hampstead, Camp Lejeune",https://www.pestandtermiteconsultants.com/,910-707-3830,unknown,unknown,since 1993 (Crew in Blue),PTC Plus $175/quarter public,free Trelona install claimed $700 value; 10th mosquito treatment free,form,PCS/move-in inspections,Trelona ATBS,seasonal mosquito program,unknown,unknown,high,"Published quarterly bundle ~$58/mo comparable to B&T Plus; city pages for Surf City and Sneads Ferry",https://www.pestandtermiteconsultants.com/areas-we-serve/jacksonville,2026-08-23,high
Rid-A-Pest Inc,regional,3573 NC Hwy 42 W (Wilson area HQ) with Jacksonville pages,"Jacksonville statewide NC claims",https://ridapest.com/,unknown,unknown,unknown,since 1972 / 54 years,no,same-day residential,unknown,family-owned 3rd gen,yes,yes listed,wildlife licenses claimed,unknown,medium,"National-style content farm location pages; license breadth claim",https://www.ridapest.com/locations/pest-control-jacksonville,2026-08-23,medium
Diamond Pest Pro,regional,67 Downy Dr Hampstead NC 28443 + Wilmington branch,"Jacksonville, Holly Ridge, Sneads Ferry, Surf City, Wilmington, Hampstead",https://www.diamondpestpro.com/,910-459-5515 (JAX) / 910-415-8155 (ILM),4.9,780+,since 2020,initial interior+exterior from $269; termite plan $299/year,100% callback guarantee; pet-safe pyrethrin story,form,weak,Trelona specialist,mosquito as add-on,moles/voles extra,unknown,high,"Aggressive public pricing; 4 branches; fast review growth; competes on Topsail corridor",https://www.diamondpestpro.com/,2026-08-23,high
Cape Fear Termite & Pest Control,local,Hampstead / Topsail,Wilmington New Hanover Pender South Brunswick Leland Topsail,https://www.capefearpestcontrol.com/,910-270-0808,unknown,unknown,10+ years,quarterly $85 advertised; bed bug inspect $95; termite inspect $125,emergency; rental properties; WDI,form,weak,yes,not bundled,moisture/encapsulation,unknown,high,"Cheapest public quarterly in DMA; owner-on-camera beach pitch; rental specialist",https://www.capefearpestcontrol.com/,2026-08-23,high
Healthy Home Pest Control,local,6400 Carolina Beach Rd Ste 8-24 Wilmington NC 28412,"Wilmington, beaches, Leland, Hampstead, Burgaw, Onslow claimed",https://hhpestcontrol.com/,unknown,unknown,122 on pestcontrolreviews.com,family-owned Brian Holton,no,source-finding not spray-only,form,weak,separate termite agreement,unknown,unknown,unknown,high,"Strong Wilmington local brand; 5-county claim includes Onslow",https://hhpestcontrol.com/,2026-08-23,medium
