Company,Service,Price,Pricing Structure,Price Type,Promotion,Geography,Source URL,Date Observed,Confidence,Notes
B&T Pest Control,PestGuard Basic,29,Monthly billing; quarterly visits (4/year); starting at,"Verified advertised / Starting price",Initial fee applies (amount unpublished),Eastern NC (Onslow/Pender/New Hanover and listed cities),https://www.btpestcontrol.com/compare-our-packages,2026-08-23,High,Verified on compare-our-packages. Coverage: house ants/spiders and American/Oriental/Smokey Brown roaches. Exterior inspections/treatments.
B&T Pest Control,PestGuard,45,Monthly billing; bi-monthly visits (6/year); starting at,"Verified advertised / Starting price",Initial fee applies (amount unpublished); city pages push $75 off setup,Eastern NC; Jacksonville/Surf City/Wilmington city pages,https://www.btpestcontrol.com/compare-our-packages,2026-08-23,High,"Includes fire ants, fleas, ticks, stinging insects, mosquitoes. Wilmington copy: all-inclusive home and yard at $45/mo."
B&T Pest Control,PestGuard Plus,59,Monthly billing; bi-monthly visits (6/year) plus Advance Termite Bait; starting at,"Verified advertised / Starting price", $100 off signup on special-offers and city pages,Eastern NC,https://www.btpestcontrol.com/compare-our-packages,2026-08-23,High,Wilmington copy also says termite coverage starting as low as $59/mo with auto-pay.
B&T Pest Control,PestGuard Basic initial setup,Not published (fee exists),One-time setup,"Verified advertised", $75 OFF PestGuardBASIC initial set-up for new customers; expires 08/31/2026,Eastern NC,https://www.btpestcontrol.com/special-offers,2026-08-23,High,Headline says PestGuard; body specifies PestGuardBASIC. Setup dollar amount never shown.
B&T Pest Control,PestGuard Plus signup,Not published (discount only),One-time credit on program signup,Promotion, $100 Off PestGuardPLUS; expires 08/31/2026,Eastern NC including Jacksonville/Wilmington/Surf City pages,https://www.btpestcontrol.com/special-offers,2026-08-23,High,Also on pest-control-jacksonville / wilmington / surf-city pages.
B&T Pest Control,Crawl space moisture control,Not published,Package signup,Promotion, $250 OFF complete crawl space sealing and dehumidifier; expires 08/31/2026,Eastern NC,https://www.btpestcontrol.com/special-offers,2026-08-23,High,Adjacent offer not a pest-plan rate.
B&T Pest Control,One-time exterior with termite purchase,225 value (free),One-time included with termite treatment,Promotion,FREE exterior pest control service ($225 value) with termite treatment; expires 08/31/2026,Eastern NC,https://www.btpestcontrol.com/special-offers,2026-08-23,High,Implies $225 list for a one-time exterior.
B&T Pest Control,Initial recurring service (Community Heroes),25 off,One-time discount on initial recurring,Promotion,"$25 off any initial reoccurring services; military LE educators medical clergy fire EMS; combinable; expires 08/31/2026",Eastern NC,https://www.btpestcontrol.com/special-offers,2026-08-23,High,Broader than military-only.
B&T Pest Control,Wildlife exclusion,10% off,Percent off job,Promotion,10% OFF wildlife exclusion; expires 08/31/2026,Eastern NC,https://www.btpestcontrol.com/special-offers,2026-08-23,High,
B&T Pest Control,Refer-a-friend one-time pest,10 / 10,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,Current $10; new $10.
